Año,Trimestre,Enfrentamientos,lnFDI,lnIC,lnGSP
2007,1,10,9.291,3.555348061,9.122
2007,2,18,8.727,3.555348061,9.191
2007,3,5,8.940,3.555348061,9.445
2007,4,16,8.967,3.555348061,9.591
2008,1,23,9.053,3.401197382,9.210
2008,2,17,9.036,3.401197382,9.307
2008,3,28,8.639,3.401197382,9.560
2008,4,39,8.844,3.401197382,9.744
2009,1,35,8.717,3.496507561,9.439
2009,2,47,8.716,3.496507561,9.602
2009,3,65,7.782,3.496507561,9.638
2009,4,67,8.087,3.496507561,9.815
2010,1,137,9.074,3.433987204,9.518
2010,2,156,9.138,3.433987204,9.587
2010,3,187,8.277,3.433987204,9.812
2010,4,189,8.563,3.433987204,10.092
2011,1,256,9.040,3.401197382,9.576
2011,2,280,8.802,3.401197382,9.966
2011,3,292,8.378,3.401197382,9.909
2011,4,243,8.725,3.401197382,10.227
2012,1,230,8.971,3.526360525,9.679
2012,2,205,8.635,3.526360525,9.902
2012,3,202,8.654,3.526360525,9.825
2012,4,217,7.831,3.526360525,10.236
2013,1,143,9.257,3.526360525,9.688
2013,2,138,9.953,3.526360525,9.902
2013,3,101,8.338,3.526360525,9.963
2013,4,135,9.440,3.526360525,10.233
2014,1,103,9.543,3.555348061,9.858
2014,2,101,8.615,3.555348061,9.934
2014,3,73,8.078,3.555348061,10.106
2014,4,51,8.967,3.555348061,10.320
2015,1,74,9.398,3.433987204,9.992
2015,2,57,8.794,3.433987204,10.031
2015,3,36,9.172,3.433987204,10.173
2015,4,46,8.887,3.433987204,10.414
2016,1,71,9.458,3.401197382,10.085
2016,2,36,8.728,3.401197382,9.996
2016,3,59,8.386,3.401197382,10.254
2016,4,47,8.963,3.401197382,10.378
2017,1,66,9.531,3.36729583,10.088
2017,2,100,8.824,3.36729583,10.116
2017,3,103,8.782,3.36729583,10.194
2017,4,93,8.881,3.36729583,10.382
2018,1,83,9.504,3.33220451,10.157
2018,2,61,9.165,3.33220451,10.267
2018,3,99,8.294,3.33220451,10.288
2018,4,62,8.849,3.33220451,10.344
2019,1,63,9.584,3.36729583,10.160
2019,2,68,8.768,3.36729583,10.288
2019,3,59,9.029,3.36729583,10.344
2019,4,60,8.513,3.36729583,10.859
